frequency;V(OUTBP) (gain);
100;-67,0016;
100,231;-66,9816;
100,462;-66,9616;
100,693;-66,9416;
100,925;-66,9216;
101,158;-66,9016;
101,391;-66,8816;
101,625;-66,8616;
101,859;-66,8416;
102,094;-66,8216;
102,329;-66,8016;
102,565;-66,7816;
102,802;-66,7616;
103,039;-66,7416;
103,276;-66,7216;
103,514;-66,7016;
103,753;-66,6816;
103,992;-66,6617;
104,232;-66,6417;
104,472;-66,6217;
104,713;-66,6017;
104,954;-66,5817;
105,196;-66,5617;
105,439;-66,5417;
105,682;-66,5217;
105,925;-66,5017;
106,17;-66,4817;
106,414;-66,4617;
106,66;-66,4417;
106,905;-66,4217;
107,152;-66,4017;
107,399;-66,3817;
107,647;-66,3617;
107,895;-66,3417;
108,143;-66,3217;
108,393;-66,3017;
108,643;-66,2817;
108,893;-66,2617;
109,144;-66,2417;
109,396;-66,2217;
109,648;-66,2017;
109,901;-66,1817;
110,154;-66,1617;
110,408;-66,1417;
110,662;-66,1217;
110,917;-66,1017;
111,173;-66,0817;
111,429;-66,0617;
111,686;-66,0417;
111,944;-66,0217;
112,202;-66,0017;
112,46;-65,9817;
112,72;-65,9617;
112,98;-65,9417;
113,24;-65,9217;
113,501;-65,9017;
113,763;-65,8817;
114,025;-65,8617;
114,288;-65,8417;
114,551;-65,8217;
114,815;-65,8017;
115,08;-65,7817;
115,345;-65,7617;
115,611;-65,7417;
115,878;-65,7217;
116,145;-65,7017;
116,413;-65,6817;
116,681;-65,6617;
116,95;-65,6417;
117,22;-65,6217;
117,49;-65,6017;
117,761;-65,5817;
118,032;-65,5617;
118,304;-65,5417;
118,577;-65,5217;
118,85;-65,5017;
119,124;-65,4817;
119,399;-65,4617;
119,674;-65,4417;
119,95;-65,4217;
120,226;-65,4017;
120,504;-65,3817;
120,781;-65,3617;
121,06;-65,3417;
121,339;-65,3218;
121,619;-65,3018;
121,899;-65,2818;
122,18;-65,2618;
122,462;-65,2418;
122,744;-65,2218;
123,027;-65,2018;
123,31;-65,1818;
123,595;-65,1618;
123,88;-65,1418;
124,165;-65,1218;
124,451;-65,1018;
124,738;-65,0818;
125,026;-65,0618;
125,314;-65,0418;
125,603;-65,0218;
125,893;-65,0018;
126,183;-64,9818;
126,474;-64,9618;
126,765;-64,9418;
127,057;-64,9218;
127,35;-64,9018;
127,644;-64,8818;
127,938;-64,8618;
128,233;-64,8418;
128,529;-64,8218;
128,825;-64,8018;
129,122;-64,7818;
129,42;-64,7618;
129,718;-64,7418;
130,017;-64,7218;
130,317;-64,7018;
130,617;-64,6818;
130,918;-64,6618;
131,22;-64,6418;
131,522;-64,6218;
131,826;-64,6018;
132,13;-64,5818;
132,434;-64,5618;
132,739;-64,5418;
133,045;-64,5218;
133,352;-64,5018;
133,66;-64,4818;
133,968;-64,4618;
134,276;-64,4418;
134,586;-64,4218;
134,896;-64,4018;
135,207;-64,3818;
135,519;-64,3618;
135,831;-64,3418;
136,144;-64,3218;
136,458;-64,3018;
136,773;-64,2818;
137,088;-64,2618;
137,404;-64,2418;
137,721;-64,2218;
138,038;-64,2018;
138,357;-64,1818;
138,676;-64,1618;
138,995;-64,1418;
139,316;-64,1218;
139,637;-64,1018;
139,959;-64,0818;
140,281;-64,0618;
140,605;-64,0418;
140,929;-64,0218;
141,254;-64,0018;
141,579;-63,9818;
141,906;-63,9618;
142,233;-63,9418;
142,561;-63,9218;
142,889;-63,9018;
143,219;-63,8818;
143,549;-63,8618;
143,88;-63,8418;
144,212;-63,8218;
